epoch,avg_loss,batches,elapsed_s,elapsed_min,completed_at_utc,batch_50_data_wait_s,batch_50_compute_s,batch_1500_data_wait_s,batch_1500_compute_s,mean_data_wait_s,mean_compute_s
1,-17.443483,1503,1746.9,29.115,2026-06-18T02:47:09:00Z,0.89,2.19,0.03,1.11,0.1183,1.2257
2,-20.089081,1503,1627.8,27.13,2026-06-18T03:14:17:00Z,1.06,35.11,0.04,2.21,0.1417,5.6107
3,-20.631621,1503,1626.2,27.103,2026-06-18T03:41:23:00Z,1.21,67.5,0.04,3.29,0.1607,9.923
4,-21.018854,1503,1627.1,27.118,2026-06-18T04:08:30:00Z,1.37,99.87,0.05,4.37,0.183,14.2337
5,-21.265592,1503,1626.9,27.115,2026-06-18T04:35:37:00Z,1.53,132.25,0.05,5.45,0.204,18.5443
6,-21.46997,1503,1626.2,27.103,2026-06-18T05:02:47:00Z,1.76,164.63,0.06,6.53,0.235,22.857
7,-21.733608,1503,1626.8,27.113,2026-06-18T05:29:54:00Z,1.92,197.0,0.06,7.61,0.2557,27.167
8,-21.930444,1503,1626.6,27.11,2026-06-18T05:57:00:00Z,2.07,229.37,0.07,8.69,0.276,31.478
9,-22.08961,1503,1626.5,27.108,2026-06-18T06:24:07:00Z,2.22,261.75,0.07,9.77,0.296,35.7907
10,-22.258306,1503,1635.6,27.26,2026-06-18T06:51:23:00Z,2.38,294.13,0.09,10.85,0.3333,40.102
11,-22.427656,1503,1626.9,27.115,2026-06-18T07:18:34:00Z,2.77,326.51,0.09,11.93,0.3697,44.4153
12,-22.612864,1503,1715.5,28.592,2026-06-18T07:47:09:00Z,2.95,358.89,0.16,13.0,0.434,48.7263
13,-22.75514,1503,1627.4,27.123,2026-06-18T08:14:17:00Z,4.88,391.27,0.16,14.08,0.6503,53.038
14,-22.843997,1503,1649.1,27.485,2026-06-18T08:41:46:00Z,5.47,423.65,0.18,15.16,0.7293,57.351
15,-23.018798,1503,1626.5,27.108,2026-06-18T09:08:52:00Z,5.63,456.04,0.19,16.24,0.751,61.663
16,-23.137028,1503,1626.5,27.108,2026-06-18T09:36:03:00Z,5.88,488.41,0.2,17.32,0.7837,65.9733
17,-23.20244,1503,1627.5,27.125,2026-06-18T10:03:10:00Z,6.04,520.78,0.2,18.4,0.8047,70.2843
18,-23.326916,1503,1667.6,27.793,2026-06-18T10:30:58:00Z,6.19,553.16,0.23,19.48,0.8313,74.596
